title,address,totalScore,reviewsCount,additionalInfo
WGM (Wisata Gentong Mas),"Dusun Napel, Sukolilo, Kec. Wajak, Kabupaten Malang, Jawa Timur 65173, Indonesia",4.5,1194,"{'Aksesibilitas': [{'Toilet khusus pengguna kursi roda': True}], 'Fasilitas': [{'Toilet': True}, {'Toilet netral gender': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Tomboan Ngawonggo,"WPF4+7G6, jln rabidin No.Dusun, RT.03 rw04, Nanasan, Ngawonggo, Kec. Tajinan, Kabupaten Malang, Jawa Timur 65172, Indonesia",4.6,828,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Perencanaan': [{'Perlu janji temu': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Wisata Mahoni Dempok,"Jl. Raya Dempok, Depok, Gampingan, Kec. Pagak, Kabupaten Malang, Jawa Timur 65168, Indonesia",4.4,1121,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Pantai Kedung Tumpang,"M2W6+M46, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia",4.5,2201,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Parkir': [{'Parkir di jalan berbayar': True}, {'Tempat parkir berbayar': True}]}"
Sumber Taman,"RHGX+5W4, Jl. Sumber Taman, Sidomakmur, Brongkal, Kec. Pagelaran, Kabupaten Malang, Jawa Timur 65174, Indonesia",4.4,1592,"{'Aksesibilitas': [{'Toilet khusus pengguna kursi roda': True}, {'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Penawaran': [{'Makanan': True}], 'Fasilitas': [{'Toilet': True}, {'Restoran': False}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Taman bermain': True}]}"
Wisata Malang Dreamland,"Jl. Sudirman, Ngadireso, Kec. Poncokusumo, Kabupaten Malang, Jawa Timur 65157, Indonesia",4.3,1594,"{'Aksesibilitas': [{'Toilet khusus pengguna kursi roda': True}, {'Kursi khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Penawaran': [{'Game arcade': True}, {'Makanan': True}], 'Fasilitas': [{'Restoran': True}, {'Toilet': True}, {'Toilet netral gender': True}], 'Tipe pengunjung': [{'Ramah keluarga': True}], 'Pembayaran': [{'Kartu debit': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Taman bermain': True}], 'Parkir': [{'Tempat parkir berbayar': True}, {'Tempat parkir di lokasi': True}]}"
Kampung Biru Arema,"2J9Q+F3G, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",4.5,916,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Hutan Kota Malabar Malang,"2JJG+HJR, Jl. Malabar, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",4.3,1509,"{'Aksesibilitas': [{'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet umum': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Hewan Peliharaan': [{'Anjing boleh masuk': True}]}"
Mbalong Kawuk,"Unnamed Road, Sumberejo Kulon, Kec. Ngunut, Kabupaten Tulungagung, Jawa Timur 66292, Indonesia",4.4,2246,"{'Aksesibilitas': [{'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Air Terjun Coban Glotak,"2G9C+5F3, Jalan Raya Coban Glothak, Area Hutan, Dalisodo, Wagir, Malang Regency, East Java 65158, Indonesia",4.5,984,"{'Opsi layanan': [{'Layanan di tempat': True}], 'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}]}"
Wisata Hutan Pinus Gogoniti,"Kemirigede Krajan, Kemirigede, Kec. Kesamben, Kabupaten Blitar, Jawa Timur 66186, Indonesia",4.2,1326,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Kampung Warna Warni Jodipan,"Jl. Ir. H. Juanda No.RT.7, RT.09/RW.2, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65127, Indonesia",4.5,1792,"{'Opsi layanan': [{'Layanan di tempat': True}], 'Aksesibilitas': [{'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}]}"
Taman Galaxy,"PM5V+GCQ, Area Sawah/Kebun, Tempurejo, Kec. Tempurejo, Kabupaten Jember, Jawa Timur 68173, Indonesia",4.5,2118,"{'Opsi layanan': [{'Layanan di tempat': True}], 'Aksesibilitas': [{'Toilet khusus pengguna kursi roda': True}], 'Penawaran': [{'Makanan': True}], 'Fasilitas': [{'Restoran': True}, {'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Taman bermain': True}], 'Parkir': [{'Parkir di jalan berbayar': True}, {'Tempat parkir berbayar': True}]}"
Air Terjun Coban Jahe,"Jl. Begawan No.ds, Dusun Krajan, Taji, Kec. Jabung, Kabupaten Malang, Jawa Timur 65155, Indonesia",4.5,2150,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}, {'Tempat parkir gratis': True}]}"
Wisata Alam Sumber Jenon,"Jl. Saiful Sulun Ketitang, Area Sawah, Gunungronggo, Kec. Tajinan, Kabupaten Malang, Jawa Timur 65172, Indonesia",4.3,1873,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}]}"
Taman Trunojoyo,"2JFP+CJC, Jl. Trunojoyo, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",4.4,2544,"{'Keunggulan': [{'Piknik': True}], 'Aksesibilitas': [{'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Ayunan': True}, {'Toilet umum': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Taman bermain': True}], 'Hewan Peliharaan': [{'Anjing boleh masuk': True}]}"
"Air Terjun Coban Pelangi, Malang","Jl. Raya Gubugklakah, Dusun Ngadas, Ngadas, Kec. Poncokusumo, Kabupaten Malang, Jawa Timur 65157, Indonesia",4.6,1813,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Pantai Pacar,"Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia",4.5,3070,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Parkir': [{'Parkir di jalan berbayar': True}, {'Tempat parkir berbayar': True}]}"
Pemandian Alam Selokambang,"V55F+FHX, Purworejo, Senduro, Pancen, Purworejo, Kec. Lumajang, Kabupaten Lumajang, Jawa Timur 67361, Indonesia",4.4,2647,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': True}, {'Toilet khusus pengguna kursi roda': True}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}, {'Tempat parkir gratis': True}]}"
Kampung Tridi,"Jl. Temenggungan Ledok, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121, Indonesia",4.4,3311,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Istana Gebang,"Jl. Sultan Agung No.59, Sananwetan, Kec. Sananwetan, Kota Blitar, Jawa Timur 66137, Indonesia",4.6,4917,"{'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Parkir': [{'Tempat parkir berbayar': True}, {'Tempat parkir gratis': True}]}"
Hutan Kota Malabar Malang,"2JJG+HJR, Jl. Malabar, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",4.3,1509,"{'Aksesibilitas': [{'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet umum': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}], 'Hewan Peliharaan': [{'Anjing boleh masuk': True}]}"
Bendungan Karangkates,"RCVX+794, Waduk, Karangkates, Kec. Sumberpucung, Kabupaten Malang, Jawa Timur 65165, Indonesia",4.5,1607,"{'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Wisata Korea Fantasy,"25QQ+6JP, Margorejo, Manggis, Kec. Ngancar, Kabupaten Kediri, Jawa Timur 64291, Indonesia",3.9,1670,"{'Fasilitas': [{'Toilet': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
"Air Terjun Coban Pelangi, Malang","Jl. Raya Gubugklakah, Dusun Ngadas, Ngadas, Kec. Poncokusumo, Kabupaten Malang, Jawa Timur 65157, Indonesia",4.6,1813,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}]}"
Mbalong Kawuk,"Unnamed Road, Sumberejo Kulon, Kec. Ngunut, Kabupaten Tulungagung, Jawa Timur 66292, Indonesia",4.4,2246,"{'Aksesibilitas': [{'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Anak-anak': [{'Cocok untuk anak-anak': True}, {'Cocok untuk ulang tahun anak': True}]}"
Pantai Kedung Tumpang,"M2W6+M46, Area Perkebunan Dan P, Pucanglaban, Kec. Pucanglaban, Kabupaten Tulungagung, Jawa Timur 66284, Indonesia",4.5,2201,"{'Aksesibilitas': [{'Pintu masuk khusus pengguna kursi roda': False}, {'Tempat parkir khusus pengguna kursi roda': False}], 'Fasilitas': [{'Toilet': True}], 'Pembayaran': [{'Hanya tunai': True}], 'Parkir': [{'Parkir di jalan berbayar': True}, {'Tempat parkir berbayar': True}]}"
